epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.4051,1.26773,1.81033,1.80669,0.02156,0.53489,0.01378,0.00547,2.19285,inf,4.80007,0.0701676,0.00331471,0.00331471
2,144.883,1.0384,1.0327,1.5817,0.63879,0.57615,0.61503,0.46754,1.01475,4.0189,1.55942,0.0401018,0.00658223,0.00658223
3,223.598,0.95937,0.87158,1.49382,0.80699,0.80205,0.86225,0.62847,0.9334,1.27062,1.471,0.00996997,0.00978375,0.00978375
4,301.705,0.85685,0.73741,1.38021,0.76202,0.73078,0.83392,0.61351,0.96199,0.98501,1.52343,0.009703,0.009703,0.009703
5,371.443,0.79258,0.70109,1.34981,0.78895,0.78483,0.83833,0.60542,0.98139,1.05277,1.48429,0.009604,0.009604,0.009604
6,441.469,0.7445,0.62621,1.27033,0.87057,0.84514,0.90226,0.65363,0.97363,0.79409,1.55842,0.009505,0.009505,0.009505
7,515.788,0.73703,0.60969,1.25142,0.93949,0.92374,0.9528,0.73881,0.8467,0.5777,1.30048,0.009406,0.009406,0.009406
8,586.339,0.67408,0.53222,1.19642,0.95093,0.93707,0.97674,0.76829,0.83114,0.55912,1.33428,0.009307,0.009307,0.009307
9,661.48,0.62554,0.50336,1.16719,0.94391,0.95676,0.98224,0.77367,0.85141,0.54594,1.26832,0.009208,0.009208,0.009208
10,744.186,0.65854,0.50046,1.16906,0.94915,0.94929,0.97735,0.7427,0.88168,0.53086,1.29936,0.009109,0.009109,0.009109
11,814.352,0.64098,0.47512,1.15652,0.9487,0.95447,0.97896,0.80105,0.7015,0.4714,1.20485,0.00901,0.00901,0.00901
12,890.414,0.62837,0.48632,1.14339,0.95176,0.94979,0.9761,0.79047,0.74457,0.52595,1.19885,0.008911,0.008911,0.008911
13,965.319,0.62147,0.46824,1.14423,0.95049,0.9598,0.98107,0.79446,0.75302,0.46123,1.20328,0.008812,0.008812,0.008812
14,1033.89,0.59177,0.44267,1.10731,0.96148,0.95534,0.98441,0.8092,0.74583,0.45523,1.19228,0.008713,0.008713,0.008713
15,1129.76,0.57624,0.42553,1.09038,0.9716,0.96553,0.98936,0.80695,0.70203,0.43068,1.187,0.008614,0.008614,0.008614
16,1210.36,0.58647,0.41307,1.10953,0.96511,0.96777,0.98794,0.81853,0.64888,0.42471,1.13139,0.008515,0.008515,0.008515
17,1282.19,0.58092,0.41233,1.09591,0.96358,0.95631,0.98539,0.82371,0.65767,0.41745,1.13089,0.008416,0.008416,0.008416
18,1377.26,0.55482,0.41113,1.08266,0.9747,0.96797,0.99024,0.84437,0.63101,0.40223,1.09704,0.008317,0.008317,0.008317
19,1450.98,0.55156,0.38813,1.06849,0.95678,0.97351,0.98703,0.81471,0.68451,0.42363,1.17672,0.008218,0.008218,0.008218
20,1521.19,0.53744,0.39448,1.06398,0.96734,0.97907,0.99082,0.81238,0.70061,0.40323,1.18042,0.008119,0.008119,0.008119
21,1612.59,0.52564,0.37428,1.04978,0.97766,0.9823,0.98945,0.83477,0.66273,0.37322,1.12035,0.00802,0.00802,0.00802
22,1682.24,0.54406,0.38722,1.05728,0.95985,0.96887,0.9845,0.80971,0.70648,0.41626,1.1647,0.007921,0.007921,0.007921
23,1750.67,0.52772,0.37574,1.04851,0.97912,0.9898,0.98924,0.8305,0.61232,0.35555,1.0922,0.007822,0.007822,0.007822
24,1847.6,0.53981,0.36753,1.06655,0.97652,0.99085,0.99212,0.83181,0.67749,0.37441,1.12534,0.007723,0.007723,0.007723
25,1922.32,0.51769,0.36276,1.04503,0.98049,0.99118,0.99311,0.82489,0.66462,0.36557,1.12683,0.007624,0.007624,0.007624
