epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7465,0.62069,1.93762,1.08933,0.4983,0.76916,0.66782,0.59682,0.51409,1.4792,1.07125,0.000471372,0.000471372,0.000471372
2,24.7199,0.64705,1.2823,1.08067,0.61211,0.95333,0.66749,0.56215,0.62979,1.40364,1.18936,0.00094145,0.00094145,0.00094145
3,35.2612,0.67339,1.15896,1.08601,0.6024,0.89428,0.68918,0.57599,0.63411,1.04556,1.15838,0.00140524,0.00140524,0.00140524
4,45.7282,0.6597,0.98104,1.0594,0.47646,0.75121,0.6496,0.54395,0.54981,1.16687,1.03126,0.00140071,0.00140071,0.00140071
5,56.1952,0.62854,0.87647,1.05582,0.5836,0.86866,0.68753,0.59051,0.56118,0.82838,1.06601,0.00139127,0.00139127,0.00139127
6,66.6488,0.61099,0.80504,1.04618,0.64419,0.96954,0.69609,0.60787,0.5339,0.71251,1.04594,0.00138184,0.00138184,0.00138184
7,77.0795,0.62491,0.78952,1.05915,0.60643,0.96724,0.66561,0.58829,0.49717,0.84363,0.99916,0.00137241,0.00137241,0.00137241
8,87.605,0.59288,0.73389,1.02651,0.64297,0.96145,0.69531,0.62459,0.51085,0.6877,1.02881,0.00136298,0.00136298,0.00136298
9,98.043,0.5851,0.72318,1.02525,0.64364,0.96216,0.70138,0.60489,0.56085,0.70182,1.05134,0.00135355,0.00135355,0.00135355
10,108.403,0.56902,0.70021,1.01088,0.63214,0.97874,0.69895,0.62692,0.46265,0.63974,0.96876,0.00134412,0.00134412,0.00134412
11,118.906,0.57918,0.69083,1.02228,0.64254,0.98173,0.70836,0.64564,0.45678,0.61932,0.94923,0.00133469,0.00133469,0.00133469
12,129.225,0.55465,0.66154,1.00489,0.63246,0.90747,0.68607,0.6181,0.47203,0.66694,0.97735,0.00132525,0.00132525,0.00132525
13,139.561,0.55175,0.66862,1.01134,0.63093,0.93429,0.72,0.66455,0.42447,0.60816,0.95054,0.00131582,0.00131582,0.00131582
14,150.054,0.54955,0.64359,0.99953,0.63914,0.98561,0.70686,0.62755,0.48273,0.60325,0.9601,0.00130639,0.00130639,0.00130639
15,160.364,0.55649,0.63889,1.0161,0.62985,0.95556,0.6761,0.61716,0.44344,0.58829,0.94878,0.00129696,0.00129696,0.00129696
16,170.739,0.54652,0.63567,1.00826,0.63385,0.9694,0.74787,0.68977,0.41349,0.58216,0.91863,0.00128753,0.00128753,0.00128753
17,181.234,0.53663,0.61647,1.00142,0.63586,0.99444,0.68656,0.6344,0.41629,0.57837,0.92546,0.0012781,0.0012781,0.0012781
18,191.61,0.52248,0.59819,0.98599,0.6576,0.99215,0.7081,0.6514,0.44013,0.5648,0.96024,0.00126867,0.00126867,0.00126867
19,202.023,0.52128,0.59608,0.99724,0.63661,0.97508,0.70964,0.6516,0.42685,0.57369,0.92485,0.00125923,0.00125923,0.00125923
20,212.638,0.51529,0.58591,0.99491,0.64123,0.99841,0.70156,0.64753,0.41208,0.54036,0.91427,0.0012498,0.0012498,0.0012498
21,223.036,0.50947,0.59298,0.99441,0.63593,0.97013,0.68882,0.64337,0.39337,0.58312,0.90185,0.00124037,0.00124037,0.00124037
22,233.433,0.51129,0.58196,0.98224,0.64034,0.97778,0.67833,0.6211,0.45855,0.61982,0.96134,0.00123094,0.00123094,0.00123094
23,243.881,0.497,0.56703,0.98234,0.63937,0.98267,0.70737,0.65728,0.41217,0.57173,0.93663,0.00122151,0.00122151,0.00122151
